Scientific Name|Common Name|Type|Zone|When it Blooms|Where to Grow|Soil Type|When to Divide|Habit|Scent|Attracts|Resists|Maturity Rate|Long Lived or Short Lived|Something Special or Unique|Images|Year(s) Sold
Ocimum basilicum spp. 'Lime Basil'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant, hint of lime|Bees||||Use in Key-Lime Cheesecakes or as a replacement or addition to lime in cooking.  Strong lime scent and flavor.||2020
Ocimum basilicum spp. 'Mammolo Basil'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant|Bees||||Strong Italian, classic basil scent.  Use in salads, pizzas, and Italian dishes, anywhere where you would use the classic basil.||2020, 2021
Ocimum basilicum spp. 'Purple Opal Basil'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant|Bees||||Italian, classic basil scent.  Use in salads, pizzas, and Italian dishes, anywhere where you would use the classic basil.||2020, 2023
Ocimum basilicum spp. 'Thai Basil'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant, hint of cloves|Bees||||Use in Thai dishes, curries, coconut-based soups; clove flavor; remove flowers to continue leaf growth; flowers are edible||2019, 2020, 2021, 2022, 2023
Ocimum basilicum spp. 'Akoko Mesa'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant|Bees||||Its name, Akoko Mesa, means Chicken Dance in Ghana because it is used for preparing poultry.  It has also been used for hundreds of years in dishes and medicinal preparations.||2019, 2020, 2021, 2022, 2023
Ocimum basilicum spp. 'Blue Spice'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant, peppery, with a hint of vanilla|Bees||||Blue Spice is a peppery basil with vanilla scent.  It can be used in place of allspice in dishes like pumpkin pie.  It does not taste like the traditional basil, and should not be used the same way.||2022
Ocimum basilicum spp. 'Minette'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant|Bees||||Minette is prized for its miniature leaves and small stature.||2023
Ocimum basilicum spp. 'Crimson King'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant|Bees||||This has a classic basil scent and dark purple leaves.||2023
Ocimum basilicum spp. 'Minette'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant|Bees||||Minette is prized for its miniature leaves and small stature.||2023
Ocimum basilicum spp. 'Romanesco'||Annual herb|Not winter hardy; may bring in for winter|June-July|Full sun|Well-draining and fertile|Prefers no division|Height:  24” Spread:  Clumping|Fragrant|Bees||||Romanesco is a classic Italian basil with strong flavor.||2023
Oenothera missouriensis|Sun Drops|Perennial|3-8|June-July (Early to mid summer)|Partial shade to full sun|Any soil, Drought resistant, Well draining|Fall|Height:  6” Spread: 12” Spreading by rosette, very slowly|Sweet and strong in early evening and early morning|Bees||Blooms second year.|5-7 years|Large 3” flowers. Seeds can be collected and started in trays and transplanted.||2019, 2023
Origanum majorana|Marjoram|Annual (in the North) herb|9-10|July-August|Full Sun|Dry to medium water, must have well-draining soil|Resents division|Height:  4” Spread:  trailing Clumping|Leaves are fragrant|Bees and moths||||Herb used with chicken, pork, salads||2019, 2020
Origanum vulgare|Oregano|Perennial|5-10|July-August|Full sun|Fertile well-draining soil|Resents division|Height:  6” Spread:  6” Clumping|||||May winter over|Herb used with italian seasoning, chicken, and pasta||2019, 2022
Papaver orientale-Hybr. 'Beauty of Livermere'|Oriental Poppy|Perennial|3-8|June-July|Full sun|Organically rich, fertile, medium moisture, well-drained soils; will perform well with average soils if well-drained||Height: 24"-36", Spread: 18"-24", Mounding|None|Bumblebees|Deer and rabbits|Blooms second or third year|Long lived|Its long leaves appear bristly, but are not.  This poppy is one of the few that has a deep red flower.||
Penstemon digitalis 'Mystica'|Beard-tongue|Perennial|||Full sun|Fertile well draining||Height: 6” (12” with flower stalk), Spread: 6”, Clumping, occasionally reseeds|None|Butterflies and hummingbirds||Flowers first year|Short lived (2-3 years)|||
Penstemon barbatus 'Rondo Petite Bouquet'||Perennial|5-8|June-July|Full sun|Fertile, loamy, and well-draining soil|Resents division|Height: 6", Spread: 6", Rosette forming|None|Butterflies, bees|Deer and rabbits|Will bloom first year|Short lived (2-3 years) but seeds can be collected|Each flower has sterile stamen with a tuft of small hairs, giving it the name "beardtongue".||
Penstemon digitalis 'Husker Red'|Beard-tongue|Perennial|3-8|June-July|Full sun, partial shade|Well draining, drought resistant|Early spring (April)|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping, occasionally reseeds|None|Butterflies and hummingbirds||Flowers second year|Long lived|Dark purplish foliage that fades to green as the summer progresses.|Penstemon digitalis 'Husker Red':Penstemon digitalis 'Husker Red' Seedling|2019, 2020, 2021, 2022, 2023
Platycodon grandiflorus 'Hakone Blue'|Balloon Flower|Perennial|3-8|July-August|Full sun, partial sun|Average to moist soil, with these conditions, tolerant of many soils.|Do not divide.  Collect seeds, refrigerate and germinate, and transplant when small.|Height:  Up to 24", Spread:  8", single stalk|None|Bees||||Good cut flower.  Its common name, balloon flower, refers to how its flowers are shaped before fully opening|Platycodon grandiflorus 'Hakone Blue':Platycodon grandiflorus 'Hakone Blue' Seedling|2021
Platycodon grandiflorus 'Dwarf Astra'|Dwarf Balloon Flower|Perennial|3-8|June-August|Full sun, partial sun|Light, mediudm moisture, organically rich, well-drained, loamy soils.|Do not divide.  Collect seeds, refrigerate and germinate, and transplant when small.|Height:  6"-12", Spread:  6"-8", single stalk|None|Bees||||Good cut flower.  Its common name, balloon flower, refers to how its flowers are shaped before fully opening||2022
Polemonium yezoense|Jacob's Ladder Purple Rain Strain|Perennial|4-9|May-June|Full sun, partial shade|Average to moist soil|Early spring (April) or fall|Height:  12-18” (24” with flower stalk) Spread:  12”-18” Clumping, occasionally reseeds.|None|Butterflies, bees and moths||Flowers second year|Long lived|Dark purplish foliage that fades to green as the summer progresses; tolerates black walnut trees|Polemonium yezoense:Polemonium yezoense Seedling|2019, 2020, 2021, 2022, 2023
Potentilla atrosanguinea 'Red'|Ruby Cinquefoil|Perennial|5-7|April-June|Full sun, partial sun|Average to well-draining; drought resistant|Early spring (April)|Height:  12-18” (24” with flower stalk) Spread:  12”-24” Clumping, occasionally reseeds.|None|Butterflies|Deer and rabbits|Flowers second year|Long lived|May rebloom in fall, good for borders and rock gardens||2019, 2020
Potentilla atrosanguinea var. argyrophylla 'Orange Starlit'|Orange Starlit Cinquefoil|Perennial|5-7|April-June|Full sun, partial sun|Average to well-draining; drought resistant|Early spring (April)|Height:  12-18” (24” with flower stalk) Spread:  12”-24” Clumping, occasionally reseeds.|None|Butterflies|Deer and rabbits|Flowers second year|Long lived|May rebloom in fall, good for borders and rock gardens|Potentilla atrosanguinea var. argyrophylla:Potentilla atrosanguinea var. argyrophylla Seedling|2021, 2022, 2023
Pulmonaria officinalis ssp. obscura|Unspotted Lungwort, Jerusalem Cowslip|Perennial|4-7|April-Early May|Dappled sun, morning sun, afternoon shade.  Prefers semi-shade.|Likes clay.  Ammending soil with compost, bone meal fertilizer, or peat moss improves the growth.  Does not like boggy winter soils.|Easily divided every few years.  Plant roots 1" below soil.  Eaily propagated by root cuttings.|Height:  6" Spread:  12"|Fragrant|Bees|Deer and rabbits|Will bloom second year|Long lived|Flowers emerge pink or violet, but change to blue as they age.  They retain their foliage until late winter, making them almost evergreen.  If it's too hot, it will go dormant and reappear as it cools near fall.  Classified as "Endangered".|Pulmonaria officinalis ssp. obscura:Pulmonaria officinalis ssp. obscura Seedling|2021
Pycnanthemum pilosum|American Mountain Mint|Perennial|4-8|July-September|Full sun to part shade, best flowering in full sun|Average, dry to medium, well-drained soils|Will spread by rhizome|Height: 12"-36", Spread: 12"-36", Rhizomatus|Minty|Bees, butterflies|Deer and rabbits|Will bloom first year|Long lived|Native to the Eastern United States, can be used as a honey plant||2022
Ratibida pinnata|Grey-head coneflower|Perennial|3-8|June-August|Full sun|Average, well-draining, medium moisture; prefers clay or sand soils; will tolerate poor, dry soils|Do not divide.  Can collect seeds and grow plants as starters for propagation.|Height: 3'-5', Spread: 18”-24”, Clumping|None|Butterflies|NOT RESISTANT; make sure to fence the first year|Will bloom second or third year|More than five years|They're sometimes called the "Mexican Hat" because their flowers look like a slender sombrero.  They may need staking the first or second year.  These plants are often used in sunny borders, native plant gardens, meadows, and prairies.  They should be massed, with 3-5 plants per clump due to their narrow stature and sparse leaves.  Native to the Eastern United States and Ontario.||2022
Rudbeckia fulgida var. sullivantii|Goldsturm|Perennial|3-9|July-September|Full sun|Well-draining; drought resistant|After 3 years but not necessary|Height: 12” (24” with flower stalk), Spread: 12”-24”, Clumping|None|Butterflies|||More than five years|Very long blooming, low maintenance, low water requirement second year.  Native to New York.  Rabbits and deer nibble in spring, but plants recover.|Rudbeckia fulgida var. sullivantii:Rudbeckia fulgida var. sullivantii Seedling|2018, 2019, 2020, 2021
Ruta graveolens|Rue|Perennial||||||||||||||2023
Salvia nemorosa|May Night|Perennial|3-9|Late May-June (Early to mid summer)|Full sun|Any soil, but must be well draining; drought resistant|Rosettes can be removed in early spring|Height: 18”, Spread: 18”, Clumping|None|Butterflies, moths and Hummingbirds|||3 years in soggy ground or shade; otherwise very long lived|Difficult to grow from seed.  Will flower late first year, and return strong next year. Remove spent flowers to promote reblooming||2018, 2019
Sanguisorba officinalis|Great Burnet|Perennial|4-8|May-June|Full to part sun.  Does not tolerate shade.|Tolerates sandy, medium, clay soils with little nutrition.  Does not like to be fertilized, drought tolerant, will tolerate moist soil.|Divide clumps in spring by gently teasing apart roots|Height:  24" Spread:  12" Clumping|Cucumber leaves|Bees, butterflies|Deer and rabbits|Blooms first year at the end of the season.|5-7 years|Young leaves are excellent in salads and soups.  Do not eat during pregnancy.  Grows well with Lamb's Ears|Sanguisorba officinalis:Sanguisorba officinalis Seedling|2021
Saponaria ocymoides|Soapwort|Perennial|3-8|June-July|Full sun|Well-draining, normal to sandy, infertile soil; drought tolerant|Fall, if necessary|Height:  6-8” (8” with flower stalk) Spread:  12” Clumping.|None|Butterflies and bees||Flowers second year|Long lived; short lived in soggy soil|Sheer after flowering to tidy; evergreen, good ground cover|Saponaria ocymoides:Saponaria ocymoides Seedling|2019, 2022
Scutellaria baicalensis 'BLBP 02'|Baikal Skullcap|Perennial|4-8|July-August|Full to part sun|Will grow in clay soils, but must be well-draining.  Drought resistant once established.  Needs care for first two years.|Do not divide.  Collect seeds, refrigerate until February, soak with warm (100F) water for 24 hours and start indoors.  Transplant outdoors when 4-6" high.|Height:  12" Spread:  12" Habit:  Hairy, fluffy clumps.|None|Hummingbirds, bees|Deer and rabbits|Blooms second year||Roots are medicinal.  Do not cut back in fall, cut back in spring instead.  Mulching is recommended for Zones 4 and 5|Scutellaria baicalensis 'BLBP 02':Scutellaria baicalensis 'BLBP 02' Seedling|2021
Sedum varieties '18|Stonecrop|Perennial|4-9|June-August|Full sun, partial shade|Well draining soil, drought resistant, no fertilizer needed, water only when soil is chalky dry|Any time|Height: 4”, Spread: Sprawling|None|Butterflies and bees|||Long lived|Evergreen, good in containers, rock walls, crevasses, as groundcover; good for draping over edges of pots, rocks or steep hillsides|Sedum forsterianum 'Oracle':Sedum sexangulare:Sedum spurium 'Coccineum':Sedum spurium 'Summer Glory'|2018
Sedum varieties '19|Stonecrop|Perennial|4-9|June-August|Full sun, partial shade|Well-draining soil; drought resistant, no fertilizer needed, water only when soil is chalky dry|Any time|Height: 4”, Spread: Sprawling|None|Butterflies and bees|||Long lived|Evergreen, good in containers, rock walls, crevasses, as groundcover; good for draping over edges of pots, rocks or steep hillsides|Sedum populifolium (Showy Stonecrop):Sedum ellacombianum (Yellow Stars)|2019
Sedum varieties '20|Stonecrop|Perennial|4-9|June-August|Full sun, partial shade|Well-draining soil; drought resistant, no fertilizer needed, water only when soil is chalky dry|Any time|Height: 4”, Spread: Sprawling|None|Butterflies and bees|||Long lived|Evergreen, good in containers, rock walls, crevasses, as groundcover; good for draping over edges of pots, rocks or steep hillsides|Sedum selskianum (Goldilocks)|2020
Sedum varieties '21|Stonecrop|Perennial|4-9|June-August|Full sun, partial shade|Well-draining soil; drought resistant, no fertilizer needed, water only when soil is chalky dry|Any time|Height: 4”, Spread: Sprawling|None|Butterflies and bees|||Long lived|Evergreen, good in containers, rock walls, crevasses, as groundcover; good for draping over edges of pots, rocks or steep hillsides|Sedum middendorffianum var. middendorffianum:Sedum middendorffianum var. middendorffianum Seedling:Sedum oreganum:Sedum oreganum Seedling:Sedum telephium 'Emperor's Waves':Sedum telephium 'Emperor's Waves' Seedling|2021
Sedum varieties '22|Stonecrop|Perennial|4-9|June-August|Full sun, partial shade|Well-draining soil; drought resistant, no fertilizer needed, water only when soil is chalky dry|Any time|Height: 4”, Spread: Sprawling|None|Butterflies and bees|||Long lived|Evergreen, good in containers, rock walls, crevasses, as groundcover; good for draping over edges of pots, rocks or steep hillsides|Sedum middendorffianum var. middendorffianum:Sedum telephium 'Emperor's Waves'|2022
Sedum varieties '23|Stonecrop|Perennial|4-9|June-August|Full sun, partial shade|Well-draining soil; drought resistant, no fertilizer needed, water only when soil is chalky dry|Any time|Height: 4”, Spread: Sprawling|None|Butterflies and bees|||Long lived|Evergreen, good in containers, rock walls, crevasses, as groundcover; good for draping over edges of pots, rocks or steep hillsides|Sedum fosterianum 'Oracle':Sedum coccineum spurium 'Red Carpet':Sedum spurium 'Voodoo':Sedum spurium 'Coccineum'|2023
Stachys byzantina|Lamb's Ear|Perennial|4-8|June-July|Full sun|Dry soil, low fertility, drought resistant|Early spring; when rosette has several small roots, cut rosette free with scissors|"Height: 4""-6” (18” with flower stalk) Spread: 6-12” Spreading; produces rosettes"|Sweet|Bees||Flowers second year|Long lived|Tolerates black walnut trees|Stachys byzantina:Stachys byzantina Seedling|2018, 2019, 2020, 2021, 2022, 2023
Stachys macrantha|Big Betony|Perennial|4-8|May-June|Full sun|Moist but well-draining, does not like water-logged winter soils|Divide spreading clumps in spring; when rosette has several small roots, cut rosette free with scissors|Height:  12" Spread:  12"|None|Bees|Deer and rabbits|Blooms second year|3-10 years|Tolerates black walnut||
Succulent Dishes||Perennial tender succulents and sedums|7-9 (Bring inside for winter)||Full shade outdoors; eastern or western window, does not like direct sunlight|Well draining, low fertility, drought resistant|When a shoot has at least six leaves, cut it from the main plant with a clean scissors.  Then, place the stem in a glass of water and plant it in soil once roots have formed.  If there are leaves that have fallen off the plant, those can be laid on top the soil until they root.|Height: 2-12”, Spread: 4”, Clumping, rosette forming, groundcover|Sweet||||Long lived|Only likes to be watered about once per month, likes to thoroughly dry out between waterings.  Grows roots during the winter, mostly dormant during the summer.  Best to transplant in September after blooming.||2022
Tagetes erecta|Marigold|Annual|2-11|July-October|Full sun|Clay, tolerates most soils|Collect seeds in Fall for next year, and store at room temperature.|"Height: 6""-12"", Spread: 6"", Clumping, occasionally reseeds"|Herbal|Bees and moths|Deer and rabbits|||Long blooming, pinch young plants for bushier growth.  Good in containers||2020
Tanacetum coccineum|Robinson Red|Perennial|3-7|June-July|Full sun, partial shade|Well-draining; drought resistant|Early spring (April) or fall|Height:  12” (36” with flower stalk) Spread:  12” Clumping.|None|Butterflies||Flowers second year|More than 10 years|Cut back after flowering for additional bloom. Unlike its invasive relatives, this species does not spread aggressively by self-sowing or rhizome||2019
Telekia speciosa|Yellow Ox-Eye|Perennial|3-7|August-September|Full sun to part shade|Average, medium, well-drained soil.  Tolerates full sun if the soils are kept moist.  Likes moist soils along streams, woodland gardens, or ponds.|Divide clumps early spring or summer|Height:  36" Spread:  12"|None|Butterflies, bees|Deer, rabbits, and slugs|Blooms second year.|Long lived|Flowers are three inches across.  Likes to be grown near water.|Telekia speciosa:Telekia speciosa Seedling|2021
Tellima grandiflora|Fragrant Fringecup|Perennial|4-7|April-June|Part sun to part shade|Moisture retentive, drought resistant|Divide in spring.  Split on rhizomes.|Height:  12", 24" with flowers Spread:  18" Clumping habit|Sweet|Hummingbirds|Deer and rabbits|Blooms second year.|Long lived|Native plant, excellent cut flower.|Tellima grandiflora:Tellima grandiflora Seedling|2021, 2022
Thalictrum aquilegifolium|Greater Meadow-rue|Perennial|5-8|May-July|Full sun, partial shade|Well-draining; drought resistant|Early spring (April)|Height:  24” (36” with flower stalk) Spread:  12”-18” Clumping.|Sweet|Butterflies||Flowers second year|More than five years|There are separate male and female plants.  Male flowers are showier than the females.  Transplant seedlings in August, after the summer heat. Tolerates black walnut trees.||2019, 2022
Thymus citriodorus|Citrus Thyme|Perennial herb|5-10|June|Full sun|Any soil, do not overwater (turns yellow)|Prefers not to be divided, easy to make cuttings and soak in water to start new plants|Height: 6-8”, Spread: 8”, Clumping|Lemon thyme, fragrant|Butterflies, moths and bees|||Rejuvenate by starting new plants from cuttings, or by lifting plant sprigs and adding leafy compost underneath.  Sprigs will grow new roots and rejuvenate plant|Excellent for chicken and beef or vegetable casseroles. Has a citrus aftertaste. Use three to four sprigs per recipe. Can also be used to make tea. Plant grown organically||2018
Thymus|Thyme|Perennial herb|5-10|June|Full sun|Any soil, do not overwater (turns yellow)|Prefers not to be divided, easy to make cuttings and soak in water to start new plants|Height: 6-8”, Spread: 8”, Clumping|Thyme, fragrant|Butterflies, moths and bees|||Rejuvenate by starting new plants from cuttings, or by lifting plant sprigs and adding leafy compost underneath.  Sprigs will grow new roots and rejuvenate plant|Excellent for chicken and beef or vegetable casseroles.  Use three to four sprigs per recipe.  Can also be used to make tea.  Plant grown organically.|Thymus:Thymus Seedling|2019, 2021, 2022, 2023
Verbesina helianthoides|Crownbeard|Perennial|5-8|June|Full sun|Loamy, well-draining, average soil, will tolerates clay.  Does not tolerate water-logged soil in winter.|Do not divide; propagate by seed instead|Height:  24" Spread:  12"|None|Butterflies|Deer and rabbits|Blooms first year||Native plant.  May wilt during drought, but will recover readily after rainfall.|Verbesina helianthoides:Verbesina helianthoides Seedling|2021
Vernonia noveboracensis|New York Ironweed|Perennial|3-9|July|Partial shade to full sun|Any soil|Can be transplanted when less than 1 foot tall|Height: 4-6', Spread: 12”, Clumping, spreading by rosettes, but after many years|Sweet|Bees and Butterflies||Three years until full height, might bloom first year, but definitely second year|Small first year, spends most of its energy setting roots|Very difficult to grow from seed. Prefers afternoon shade from sun. May sag in full heat of summer, but recovers in the evening the first two years.  Monarch magnet.  Does not come up until June.  Mark so as not to accidentally dig it up.|Vernonia noveboracensis:Vernonia noveboracensis Seedling|2018, 2019, 2020, 2021, 2023
Veronica longifolia 'Maritima'|Long-leafed Speedwell|Perennial|4-8|June-September|Full sun|Any soil, well-drained|Divide rosettes in spring every third year.|Height:  36" Spread:  12"|None|Hummingbirds and butterflies|Deer and rabbits|Blooms first year|Long lived|Good mildew resistance, good cut flower. Genus name honors Saint Veronica who reportedly gave a handkerchief to Jesus so he could wipe sweat from his face on the way to Calvary, with some genus plants having markings that resemble the markings on the sacred handkerchief|Veronica longifolia 'Maritima':Veronica longifolia 'Maritima' Seedling|2021, 2022
Veronica spicata|Spiked Speedwell|Perennial|3-8|June-August|Full sun to part sun|Well draining, drought tolerant|Early spring every 3 years|Height: 24”, Spread: 24”, Clumping|Fragrant|Bees and Butterflies|Deer and rabbits|Second year, plants will show true leaf color|Long lived, long blooming|Good mildew resistance, good cut flower. Genus name honors Saint Veronica who reportedly gave a handkerchief to Jesus so he could wipe sweat from his face on the way to Calvary, with some genus plants having markings that resemble the markings on the sacred handkerchief||2018
Veronicastrum virginicum f. albiflorum|Culver's Root|Perennial|4-8|May-August|Full sun|Average, medium to wet, well-drained soils|Divide in spring or fall|Height: 3'-4', 7' when blooming; Spread: 2'-3', Erect|None|Bees and butterflies|Deer and rabbits|Blooms second year.  They will double in size each year until full growth has been achieved in the third year.|Long lived|Can deadhead spent flower stalks to extend bloom period.  New foliage growth can be stimulated by cutting back plants to basal growth.  This may also promote a late summer or fall bloom.  Native to Eastern North America.||2023
